annee;trimestre;dernier_jour_du_mois;duree_de_contrat;nature_de_contrat;dpae_brut;dpae_cvs
2022;2;2022-06-30;Contrat de plus d'un mois;CDI;384686;429391
2022;3;2022-07-31;Contrat de plus d'un mois;CDI;361691;414597
2022;4;2022-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;326841;387529
2022;4;2022-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;250466;405768
2023;1;2023-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;241513;393040
2023;1;2023-02-28;Contrat de plus d'un mois;CDI;373549;425771
2023;1;2023-03-31;Contrat de plus d'un mois;CDI;408211;419191
2023;2;2023-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;339147;397087
2023;2;2023-04-30;Contrat de plus d'un mois;CDI;385911;417449
2023;2;2023-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;436499;388792
2023;2;2023-06-30;Contrat de plus d'un mois;CDI;381174;417028
2023;3;2023-08-31;Contrat de plus d'un mois;CDI;324556;417908
2000;1;2000-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;267828;324820
2000;2;2000-04-30;Contrat de plus d'un mois;CDI;275104;283648
2000;2;2000-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;406377;311760
2000;3;2000-07-31;Contrat de plus d'un mois;CDI;243917;281896
2000;3;2000-08-31;Contrat de plus d'un mois;CDI;195237;288310
2000;3;2000-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;433986;312491
2000;3;2000-09-30;Contrat de plus d'un mois;CDI;361414;264976
2000;4;2000-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;339430;316457
2000;4;2000-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;265280;313759
2000;4;2000-12-31;Contrat de plus d'un mois;CDI;236775;307265
2001;3;2001-07-31;Contrat de plus d'un mois;CDI;257217;288321
2001;3;2001-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;189205;304567
2001;4;2001-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;330529;305361
2001;4;2001-12-31;Contrat de plus d'un mois;CDI;230339;291751
2002;1;2002-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;250179;295014
2002;1;2002-02-28;Contrat de plus d'un mois;CDI;263818;281637
2002;1;2002-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;242366;301737
2002;2;2002-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;272350;297342
2002;2;2002-06-30;Contrat de plus d'un mois;CDI;239764;265037
2002;3;2002-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;634514;309822
2002;3;2002-08-31;Contrat de plus d'un mois;CDI;175884;262574
2002;3;2002-09-30;Contrat de plus d'un mois;CDI;372769;265371
2002;4;2002-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;298513;284565
2003;1;2003-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;240632;282769
2003;1;2003-01-31;Contrat de plus d'un mois;CDI;302870;247084
2003;1;2003-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;184825;289997
2003;1;2003-02-28;Contrat de plus d'un mois;CDI;230914;247922
2003;1;2003-03-31;Contrat de plus d'un mois;CDI;255804;251357
2003;2;2003-04-30;Contrat de plus d'un mois;CDI;247531;244679
2003;3;2003-08-31;Contrat de plus d'un mois;CDI;160349;239321
2003;3;2003-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;439109;289460
2003;3;2003-09-30;Contrat de plus d'un mois;CDI;352408;243980
2003;4;2003-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;207621;287494
2004;1;2004-01-31;Contrat de plus d'un mois;CDI;303037;248323
2004;1;2004-02-29;Contrat de plus d'un mois;CDI;223044;241038
2004;1;2004-03-31;Contrat de plus d'un mois;CDI;248376;237553
2004;2;2004-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;267440;306931
2004;2;2004-04-30;Contrat de plus d'un mois;CDI;243661;245929
2004;2;2004-05-31;Contrat de plus d'un mois;CDI;214730;241930
2004;2;2004-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;432484;319831
2004;3;2004-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;560187;299882
2004;3;2004-07-31;Contrat de plus d'un mois;CDI;202552;237872
2004;4;2004-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;304182;300847
2005;1;2005-01-31;Contrat de plus d'un mois;CDI;315999;251561
2005;1;2005-02-28;Contrat de plus d'un mois;CDI;227746;248266
2005;2;2005-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;269013;304785
